	Emociones	GSR_Avg_Resistance	GSR_Num_Minima	GSR_Avg_Rise_Time	GSR_Spectral_Power_1	GSR_Spectral_Power_2	GSR_Spectral_Power_3	GSR_Spectral_Power_4	GSR_Spectral_Power_5	GSR_Spectral_Power_6	GSR_Spectral_Power_7	GSR_Spectral_Power_8	GSR_Spectral_Power_9	GSR_Spectral_Power_10	BVP_Avg_HR	BVP_Std_HR	BVP_Energy_Ratio	BVP_Spectral_Power	RP_Avg_Respiration	RP_Std_Respiration	RP_Breathing_Rate	ST_Avg_Skin_Temperature	ST_Avg_Derivative	ST_Spectral_Power_0-0.1Hz	zEMG_Energy	zEMG_Mean	zEMG_Variance	tEMG_Energy	tEMG_Mean	tEMG_Variance	hEOG_Energy	hEOG_Mean	hEOG_Variance	vEOG_Energy	vEOG_Mean	vEOG_Variance	Spectral_Power_T7	Spectral_Power_T8	Spectral_Power_Asymmetry
Video 1	Neutra	21389.053614027212	9	609.7777777777778	39584.83169043087	5096.669829204864	4894.367488045137	2957.572447624357	2115.625629621712	1931.5742285577803	1490.0532311522738	1364.277315732114	1310.4213769905853	877.3049378139991	59.48253395645664	5.3939762560994335	0.1052335596608504	3638.4279787301916	1806.197777032542	5029.258887600105	13.0191557891168	0.008365701615699491	3.1402783842699445e-06	0.06585538838154974	29861872.19274892	42.16710096918475	2796.364546949695	52325869.16942444	43.195405020358095	6149.761943678762	23739627.947576776	-44.83582114523365	1626.3343057707289	104582473.52855185	-103.8271959446187	5240.5128811367995	506483227.87548476	259.00438030244743	10503.009764090797
Video 2	Neutra	3638.404257200066	10	586.4	6766.327381248983	6415.931911603052	4545.3644281659745	4153.912730997395	3762.3608143958513	2133.5815973124027	1881.9645473122462	1775.2713849797935	1546.5539031554854	1283.8967747135812	59.369704584397006	5.987158191391552	0.2780477614958203	2518.1549786498617	-3551.386552211316	3914.7951850904706	13.577627772420444	-0.028012968215259726	-4.748713654260911e-06	0.20217973966670616	768108421.3270309	164.8240673830526	90496.69429400162	36768499.732838586	11.758915734201162	5494.157394144218	298055759.3617162	131.63957274833191	28329.074259448542	132858151.90528949	-104.95677029737678	9336.121697372593	506483227.87548476	259.00438030244743	10503.009764090797
Video 3	Neutra	5976.441145548161	21	316.42105263157896	11132.723627418362	3370.17261320129	2020.0567123557573	1407.7281924334895	920.5827317431456	694.421457816881	496.0178072603155	467.8238066281538	452.2083522838795	424.8833450957413	59.47767458339103	5.4446788050908035	0.009299337737233676	1676.7139919191575	1882.5862742515621	4270.8773934949295	14.325928438188908	0.026380176639562002	2.236490946845718e-05	0.4379597556572882	595732531.9820893	243.76849201766035	31834.96947806473	117846687.90722641	8.176623027391631	17985.6379196955	565257024.2119784	264.61181096470784	16570.20717750875	82981070.98526147	35.619347672527304	11442.823190449413	506483227.87548476	259.00438030244743	10503.009764090797
Video 4	Neutra	-3103.7650979247574	15	491.84615384615387	7968.087654196515	5289.526958808428	2426.5055768428333	1527.998422731371	1333.2005340039614	1205.4318932608128	1157.7520561451056	1075.8232102053457	798.0893860284062	760.4044274864899	59.864336386122474	2.7979575159175694	0.09542544495417019	2692.809832183	-17780.54840178043	5113.02495470626	11.800860479409957	-0.048917265273919944	4.289160719978089e-06	0.19329394383344983	2441801715.310894	358.6606184974791	245413.06859913038	20587164120.32974	1655.9089826543022	411636.41548001225	929874683.9702176	271.5801794841467	68688.24470973758	573247036.1264458	110.0869643643832	75694.43811503223	506483227.87548476	259.00438030244743	10503.009764090797
Video 5	Neutra	-1554.220152506793	16	356.44444444444446	5072.112135726678	3603.9724971590977	3570.285671233421	3558.153431068685	2913.2953229536356	2152.025834556551	1516.6886336876419	1409.2110769387257	1240.7966679153212	786.8858082290211	59.37466090739652	5.984105783398013	0.11594508986548901	2432.1465441057367	-544.3082294735038	3452.100987925251	13.14454644468648	-0.04253913009917601	-5.055082277116489e-06	0.2197003767380955	334982115.23922926	-191.11662373363615	14789.098393567083	8399610555.725746	1040.4292490414634	204212.02610386699	2537479832.288154	-557.3082054527608	78114.64628700774	1798290575.0289493	479.82620439499044	45240.24725067463	506483227.87548476	259.00438030244743	10503.009764090797
Video 6	Neutra	12228.749996509785	15	506.6666666666667	22746.074546888198	5242.322614588987	3141.1311518224925	2605.26194863719	1803.7778609150441	1100.4533845097642	971.2086291441659	921.281958650725	868.8571172770505	864.4120978970656	59.20540552846083	6.740710998367577	0.0339125288978292	3634.0945219722753	2412.674540148195	4272.004569323268	13.187636590696222	0.048335930812239976	2.236490946845718e-05	0.47788694878001275	58771179.77093214	-57.042413365328464	5749.101155114043	14844360854.39793	-1295.001475117662	596923.5162074676	1407260009.1241794	389.3994173983758	63941.01179417115	1338611704.0685549	-413.6003530733721	33991.687899063974	506483227.87548476	259.00438030244743	10503.009764090797
Video 7	Neutra	1262.8276660885267	16	488.15384615384613	4417.101200318529	2506.372074671462	2183.098804964594	1757.8598004247942	1322.142770620029	1071.338917009571	858.0153541165762	566.6037312125211	485.70571477575595	471.7125765377632	59.293744969420125	6.359902690117388	0.18909564893702754	2839.1578273902273	-1011.5301995370269	2609.700314190059	12.401098013886648	0.14492078374780348	4.166613270835858e-05	1.0576710877379683	48666662.6580568	60.44251048361951	3801.767671850658	90715048.43446311	-58.49328097403898	10474.836392543953	69746130.10158727	47.11531965237309	8464.296485792951	64607275.25333624	-49.31414179963776	7465.063220853247	506483227.87548476	259.00438030244743	10503.009764090797
Video 8	Neutra	3409.233494325599	17	361.4117647058824	6420.111620276454	3325.5858413144597	2093.900658143521	1088.5550920038197	930.5711141540368	728.3909020247374	556.391161423712	508.3655667193072	461.35753140944314	451.5642648877773	59.6585307344987	4.388301255270973	0.0914755343988354	4806.988549351126	-4345.415157427625	3670.0528147795303	11.925465838509316	-0.035407328112046985	-3.7530156299811e-06	0.24714678911650062	12731350.711484697	-24.13626725118656	1367.7087881493815	317204936.284754	195.75899222369424	10269.859409144794	25391800.30847471	-20.422986160513	3472.576928639625	460199498.7328354	-232.43683594890874	16469.364036222378	506483227.87548476	259.00438030244743	10503.009764090797
Video 9	Neutra	-6240.907819039856	10	548.9090909090909	11798.789003264163	8565.268180639221	4696.953271095473	4249.716816782203	2033.2095131068806	2013.7600114832137	1657.8845110003892	1638.0641950369272	1343.4258799006145	1138.706310044715	59.20711116671158	6.702676877045349	0.20941819428002564	4463.859800827477	4005.4688550322544	3850.172237045277	13.301842229570147	-0.05033268831157872	-9.191058685667334e-06	0.2906278896981146	179121921.84032804	141.21554502065482	7497.189734275547	931261700.2355244	302.37027654423645	51228.72631530778	53849486.56852339	-50.892484088666095	5658.957294982692	617496446.4749367	256.54427072437534	28777.017317036527	506483227.87548476	259.00438030244743	10503.009764090797
Video 10	Neutra	-1563.3777161096386	18	353.1764705882353	7163.09803070733	3968.629463536995	3211.785743503773	2771.6073563353875	1958.6763161681379	1863.6661424676208	1011.4229071385909	962.8587865820282	680.5729412497897	643.4302285882991	59.70471838628308	4.143771817256299	0.08726665233739099	3489.480735763816	-1704.8111020076951	3982.682079621413	12.696313440238056	-0.03237902745947543	-1.5471615454206135e-05	0.2974782627178137	55374825.785007656	61.88248273864862	4653.221593735607	700507202.1005923	278.4401162574535	29779.190215611794	192977036.80932373	145.13251082246603	8497.987637128375	235419159.19324106	-179.5538291520226	3823.4063818893433	506483227.87548476	259.00438030244743	10503.009764090797
Video 11	Neutra	9482.090436396893	12	532.0	17610.749376022424	3335.4461661730893	2520.446617486392	2101.5686781498075	1190.2545330785906	733.9758421742093	715.6021459254331	705.9677867283036	649.1482274586178	645.0752135408687	59.43711163574083	5.699802537899581	0.2134650250652039	3265.0710761774167	-2181.9446939987743	3276.89871456723	13.650024236548715	-0.09264740339471166	-2.5581780008441288e-05	0.6416091458731527	120345753.1061677	106.48159323057797	7096.987874488226	248910621.1747351	175.17335126260602	7443.987751106432	148605616.0612595	-109.09637757642285	10862.321095361205	53476571.6644889	37.933973642270175	6752.890430547151	506483227.87548476	259.00438030244743	10503.009764090797
Video 12	Neutra	28178.6047307413	13	462.7692307692308	52082.358701043944	8430.655902507913	3792.2781138482233	1643.4954726163985	1345.715287720236	1285.191885665721	1242.8316080775044	1197.126860504347	1077.5877378270695	936.9197625770349	59.41141167292541	5.830109100285002	0.015036230012511394	3691.5237907659316	-704.4747773144755	3778.6551226614397	14.346201743462016	0.0356003403445694	1.6390721322772868e-05	0.3304386773975859	50190887.90200504	-82.1529818186921	939.4427103449875	49048530.27229257	75.69535454278285	1783.7749232362405	93399250.08395432	-101.71081179601828	3962.3939261654045	53794902.20993365	2.1505829211674303	8236.015650258138	506483227.87548476	259.00438030244743	10503.009764090797
Video 13	Neutra	8014.793204766449	19	343.7647058823529	14900.014424223302	3298.8610854256285	2112.4971508451194	1527.3201362539794	1415.8816647718645	1256.969170851268	698.0065178610345	582.9270884635008	573.6245681972035	558.2275125416346	59.431575452113584	5.722577379464839	0.07920422693524597	3128.33276187635	-9738.719874866476	5577.645785827069	13.81294964028777	0.02264707497021822	3.8296077856941786e-06	0.16929154744463706	158200765.42835575	-146.66198677982038	2724.447514364988	53118804.09631986	78.33542415143003	2000.6330289469042	223330137.54702896	159.5402899984564	8758.007623799873	89553238.75342637	-66.34479066984076	9316.695765899394	506483227.87548476	259.00438030244743	10503.009764090797
Video 14	Neutra	-4652.268217109088	19	399.46666666666664	8842.704511485177	5797.298820142203	2711.395174668211	2530.919587875031	2060.6331972346184	1664.9161452268108	1334.3243582309594	1186.9533693684793	1030.7706882306315	1029.1969411203013	59.588361234010506	4.828202409567069	0.10617855334769903	7033.544053521946	1810.394192379256	4312.511081140435	13.401015228426395	0.046397383351053985	6.433741079967133e-06	0.24027537628824608	644032591.8427958	249.7546654695924	36279.560483463014	79602434419.97554	2830.6978754367583	4181149.908704859	2390986965.505932	-351.66364249387567	242599.06819529436	1128222440.6026514	209.1316840814858	129092.1312075203	506483227.87548476	259.00438030244743	10503.009764090797
Video 15	Neutra	10092.453603268383	18	348.94117647058823	18708.516295203728	4295.228191953698	1391.854179882764	1286.3715339980813	985.837123989852	809.2149545217422	500.11772723144526	458.46427854615104	442.3253586257234	412.5173629658312	59.33768547801272	6.160049881627935	0.034609190012672174	2433.914774901364	-1850.5597795452375	5456.023937711111	13.208255159474671	0.004681925294483864	7.5060312599622e-06	0.17590149551501835	27893833.237149663	51.09390451912298	1662.3653163874453	251793328.89072222	-187.06495957483426	3577.982898457131	231136610.27731532	168.9921481083945	6848.610108916844	171326114.57546726	-105.4845869921493	15117.811125151333	506483227.87548476	259.00438030244743	10503.009764090797
Video 16	Neutra	8519.599364410918	15	460.7142857142857	15971.686351629442	5479.747678674036	3667.8410271826488	2132.3591450245367	1452.8727864850005	1130.9717014790058	1112.5496994617279	1092.4681663187519	792.7022911632237	768.27720187499	59.440107393761274	5.700024762961575	0.09100467417023021	3891.089065941938	-3108.1809861479014	4699.692293145896	13.720968003898001	0.0805095381099333	4.8253058099750785e-06	0.3470584448018192	7518766.979170275	-24.177029086086353	567.2431670169614	125639611.97833806	103.21728591961218	8592.45597720797	265473343.73763615	-196.32632611718793	2122.8461821566193	201688517.84304723	-61.97212526596623	27055.368349799905	506483227.87548476	259.00438030244743	10503.009764090797
Video 17	Negativa	-6740.570527131457	13	329.8666666666667	12538.920486506064	6197.103900212579	2004.803570446601	1100.2223666259529	905.753208413189	762.7072679177543	717.8992724425451	693.9324294886496	637.6442961754107	546.611673060498	59.78106951263276	3.550095243879676	0.1811487612179565	2545.6049251867785	-10027.975309873105	4516.271371928446	14.559241706161137	-0.1748185317306877	-5.2542218819731045e-05	1.2576462765101915	137343177.1442139	-15.526625722449973	20798.013529737138	1983970542.5248446	233.77430284038007	249266.63147806976	95655578.59726831	49.17477605698713	12234.963121140438	1139577002.8378665	351.63947740362215	50917.233513088475	506483227.87548476	259.00438030244743	10503.009764090797
Video 18	Neutra	-693.5793341120218	7	530.0	6405.0468887772695	5993.153042618802	4026.8506921785033	3627.4615241515485	3430.037499590447	2688.0988581865895	2538.476652243923	2268.93427095026	2097.004123586129	1800.014943287452	59.825214233143484	3.1339909594959523	0.09825389408030392	2380.6049642564644	-19451.264198757446	3396.301122024097	13.339649455234486	-0.021449480023284364	-3.982792097122511e-06	0.09971497477115575	145428509.78311312	-134.63870553382162	4150.070593364541	5415965866.336707	901.5651520733467	16831.910503345705	403729603.36138976	239.7490974454123	4366.204122362301	48956965.026758164	16.006590943162365	7243.324130134119	506483227.87548476	259.00438030244743	10503.009764090797
Video 19	Negativa	14675.746633631255	10	375.8181818181818	27011.26193894727	6781.882554718419	2468.715415477899	2134.9149031490306	2022.1928979589186	1886.9045869872368	1446.9765853205677	1150.2654296004398	1108.8160185411232	1104.6548328597414	59.553401830254636	5.036697797463227	0.07707677562441886	5186.629566511085	-777.3098525989263	4072.8322864951674	13.278008298755188	0.007892668461991173	1.4322733118497446e-05	0.2567657234103743	46047109.39326985	20.345502771300886	6639.8456568833935	57323119.35726474	15.863840747356464	8529.453654362727	304425841.42455703	166.07691816243994	19052.317766006458	135551577.8743223	-125.82545588715537	4932.595869282511	506483227.87548476	259.00438030244743	10503.009764090797
Video 20	Neutra	-3427.451157506668	22	316.44444444444446	6416.9010504373355	2327.811985275812	1926.3449856840718	1702.510970453946	1284.0645766495568	774.4236886282065	663.051591973758	414.87343070606454	390.64556095002814	346.5648528283215	59.46182364061282	5.549372616899605	0.05038715354447405	2141.320130467284	3191.296899895792	4741.201684081721	15.041619063163049	-0.03086908970163513	-1.9913960485612557e-05	0.4198511144457048	103412742.85528114	33.750660485083735	14702.305731661472	300152665.3345577	164.1158646091822	19045.251570369426	185830337.95823172	97.09485831516548	19039.24565147726	131120327.83512516	118.14716603828073	6127.08169068989	506483227.87548476	259.00438030244743	10503.009764090797
